"ID","Sep.Date","Group.Number","EggsTotal","EggsLaid","EggsInLO","MuscleCol","Neggs7","Neggs12","Neggs15","Neggs19","Neggs22","Neggs25","Neggs30","Neggs36","EventType","EventDay","SMI01","PO12","GSH12","lyso12","ProtLevel12","PO22","GSH22","lyso22","ProtLevel22","PO36","GSH36","lyso36","ProtLevel36"
1,2017-04-28,4,110,99,11,NA,0,0,10,50,86,99,99,99,"C",36,290.667121364809,NA,NA,NA,NA,NA,102.9,0,NA,NA,0,0,48.7
4,2017-04-28,2,399,396,3,NA,7,7,15,17,225,284,318,396,"C",36,325.189435856079,NA,NA,NA,NA,NA,0,0,NA,NA,78,0,60.8
8,2017-04-28,4,182,86,96,NA,0,0,1,24,25,80,86,86,"C",36,345.344797711749,NA,NA,NA,NA,NA,94.4,0,NA,3.3,0,0,95.6
10,2017-04-28,6,133,11,122,NA,0,0,1,1,7,8,8,11,"C",36,308.269631379292,NA,NA,NA,NA,NA,41,0,136.7,0,113,0,94.6
11,2017-05-05,1,290,190,100,NA,0,0,0,1,32,132,132,190,"C",36,329.286900242451,0,21.4,0,60,NA,NA,NA,NA,2.1,50.5,0,121.8
14,2017-05-05,1,249,121,128,NA,0,0,0,0,0,97,121,121,"C",36,438.369931622348,2.3,0,0,109.7,NA,NA,NA,NA,1.1,0,0,116.5
15,2017-05-05,3,190,71,119,NA,0,0,1,30,32,33,33,71,"C",36,309.068227067271,NA,0,0,104.3,NA,NA,NA,NA,1,11.3,0,138.5
16,2017-05-05,3,308,300,8,NA,71,71,125,201,208,264,299,300,"C",36,410.69832276341,NA,0,0,112.9,NA,NA,NA,NA,5.4,0,0,135.4
18,2017-05-05,1,57,26,31,NA,0,0,0,2,10,15,18,26,"C",36,302.645673479467,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,0,178.6
20,2017-05-10,2,271,45,226,"White",0,27,27,33,33,44,45,45,"C",36,489.981396636295,NA,NA,NA,NA,0,31.2,0,195.3,0,19.3,0,NA
22,2017-05-10,4,259,0,259,"White",0,0,0,0,0,0,0,0,"C",36,319.642133437668,NA,NA,NA,NA,0,106,0,158.7,0,0,0,NA
23,2017-05-10,6,15,1,14,"Pink",0,0,0,0,0,0,0,1,"C",36,360.809873988049,NA,NA,NA,NA,0,160.5,NA,217,NA,33.3,0,NA
25,2017-05-10,6,234,139,95,"White",0,18,18,26,26,26,121,139,"C",36,328.145067832968,NA,NA,NA,NA,0,25.2,3.3,195.4,1,15.4,4.6,139.6
28,2017-05-12,6,0,0,0,"Pink",0,0,0,0,0,0,0,0,"C",36,339.814737050637,NA,NA,NA,NA,1,53.9,NA,170.2,0,160.4,0,191.6
29,2017-05-12,4,63,0,63,"White",0,0,0,0,0,0,0,0,"C",36,311.237664993545,NA,NA,NA,NA,0,33.1,NA,115.4,1.7,0,0,322.9
30,2017-05-12,2,212,209,3,"White",0,0,0,0,0,0,106,209,"C",36,303.317713522135,NA,NA,NA,NA,0,42.1,NA,176.3,3.1,0,0,76.9
31,2017-05-12,4,406,126,280,"White",0,0,0,0,18,120,121,126,"C",36,440.148734004071,NA,NA,NA,NA,0,0,NA,68.2,0,0,0,76.5
32,2017-05-12,2,28,3,25,"White",0,0,0,0,0,1,2,3,"C",36,384.998428705338,NA,NA,NA,NA,0,0,NA,95.2,0,28.9,0,53.3
33,2017-05-12,6,268,10,258,"White",0,0,1,4,4,4,4,10,"C",36,297.003273293768,NA,NA,NA,NA,0,44.1,NA,133.7,1.8,0,0,331.5
34,2017-05-12,2,253,1,252,NA,0,0,0,0,0,0,0,1,"C",36,379.460964542996,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,0,271.3
36,2017-05-17,3,1,1,0,"White",0,0,0,0,0,0,1,1,"C",36,296.765135653882,0,273,NA,175.7,NA,NA,NA,NA,1.3,152.8,0,404.1
38,2017-05-17,1,185,63,122,"White",0,0,0,30,30,63,63,63,"C",36,334.056384991776,0,209.5,0,72.3,NA,NA,NA,NA,1.3,56.7,0,89.7
44,2017-05-19,1,180,58,122,"White",0,0,0,0,6,15,15,58,"C",36,360.607631525665,NA,NA,NA,NA,NA,NA,NA,NA,10.1,227.9,0,240.7
45,2017-05-19,3,42,26,16,"White",0,0,0,0,0,4,4,26,"C",36,373.792818590921,NA,NA,NA,NA,NA,NA,NA,NA,4,78.6,0,233.9
46,2017-05-19,1,177,155,22,"White",0,0,0,0,0,25,61,155,"C",36,374.936565341965,0,86.7,0,71.8,NA,NA,NA,NA,3.1,0,0,NA
47,2017-05-19,3,144,11,133,"White",0,0,0,0,0,0,9,11,"C",36,384.434433693612,NA,NA,NA,NA,NA,NA,NA,NA,7.3,132.6,5.1,250.5
48,2017-05-19,5,173,1,172,"White",0,0,0,0,1,1,1,1,"C",36,441.168442914897,0,208.2,0,170.6,NA,NA,NA,NA,NA,NA,NA,NA
49,2017-05-19,5,26,5,21,"Pink",0,0,0,0,1,1,5,5,"C",36,393.26439824637,0,157,0,171.3,NA,NA,NA,NA,0,89.7,0,120.1
50,2017-05-19,1,258,198,60,"White",0,0,0,5,55,85,88,198,"C",36,357.889631496822,0,162.5,NA,NA,NA,NA,NA,NA,5.6,83.9,4.6,165.5
51,2017-05-19,3,192,85,107,"White",0,0,0,0,61,66,76,85,"C",36,401.009101933888,0,129.4,NA,182,NA,NA,NA,NA,2.4,92.2,0,181.2
52,2017-05-19,3,258,76,182,"White",0,0,0,0,11,75,75,76,"C",36,428.011487031599,0,82,NA,248.6,NA,NA,NA,NA,1.4,125.6,0,75.9
53,2017-05-19,1,70,12,58,"Pink",0,0,0,0,1,1,1,12,"C",36,297.329505658157,0,104.3,NA,186.2,NA,NA,NA,NA,1.7,0,0,459.3
60,2017-05-24,5,51,19,32,"White",0,0,0,0,0,0,9,19,"C",36,438.957255581125,0,300.6,NA,70.5,NA,NA,NA,NA,4.2,230.2,0,192.9
61,2017-05-24,1,14,2,12,"Pink",0,1,1,1,1,1,2,2,"C",36,442.37448895421,NA,148.1,NA,NA,NA,NA,NA,NA,0,87.3,3.8,71.5
62,2017-05-24,6,97,0,97,"White",0,0,0,0,0,0,0,0,"C",36,339.826919727857,NA,NA,NA,NA,NA,NA,NA,NA,3,358.1,0,126.9
63,2017-05-24,2,91,35,56,"Pink",0,0,0,0,0,0,0,35,"C",36,337.157707219964,NA,NA,NA,NA,1.1,216.3,0,251.5,1.8,155,0,196
64,2017-05-24,5,125,0,125,"Pink",0,0,0,0,0,0,0,0,"C",36,499.914739224897,NA,102.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2017-05-24,4,146,3,143,"White",0,0,0,0,0,0,0,3,"C",36,410.360640597022,NA,NA,NA,NA,NA,284.5,0,140.3,NA,146.9,3.1,45.9
68,2017-05-24,1,53,35,18,"White",0,0,0,0,0,0,2,35,"C",36,305.017648634806,NA,51.7,NA,88.9,NA,NA,NA,NA,2.9,44.7,0,6.6
